User,name,"Score
(Average Win Stack)",Games with final Stack>0,Total Games
therealroman,Empc0nMdGQpOOTQqGwQz6F,4259.9,48%,50
fcll,LQQYKmoXfun~SUenLKD126,4139.6,38%,50
stalkermustang,Jya6RXvP8Wf1ikPwdHV6Oi,2702.2,35%,51
bendyna.ivan,qRpAPWTYmm3SLsTDuv4Dja,2597.4,68%,50
neibyr,lDYIm6Gv6bYoY4Vq7ocWeG,2243.8,20%,49
aidarshaifutdinov,IG83s0tm6HGqDg66xgh7BH,2052.9,94%,49
denisvorotincev.real,ppxraetk1sFUgsCsrGY9cz,1875.3,75%,52
sergmiller,unsHkjjNEwsxXm26E~wlvb,1843.6,20%,50
vladimir-chernykh,VtaQNLYHaUSBfDViZO43Dw,1566.8,14%,50
owneresa,ZXLjIjtPleyNEKe1vxhYak,1295.7,12%,52
AlenkinOleg,jqO822_OjmAVTs7zHkMXZd,1257.8,10%,52
Hellish-Alex,rs7GZklbcFBG_dRLmrxo_I,1242.9,16%,49
letfoolsdie,wpIalFkdmJu_Ozag_61m9T,1218.7,12%,50
GrachevArtem,k0KiAyezEFWjp11J10zTZw,1135.3,18%,51
andreyzharkov,Rmve3UzNXu8i73gwz3Hcsg,1095.2,14%,51
waniz,NB4MK82L_LIDtIDwkDlwKf,1023.0,12%,51
hgen,pto_tBGwMYLFwsxPpIySlb,978.5,73%,51
wazza.art,9VwVLBVGCY90AVY3dbdLlM,969.5,12%,52
gamlo,qeJXc6F3B~KXckvG68BYcA,947.3,13%,52
alex.natekin,tWzV4BTVy0m80Rbvlx9rWa,840.6,12%,52
timkatv,pk0LbO_cqdFQKAF9l_3g5b,809.2,11%,54
mike0sv,Fz4HfgHzIw~YSQZ48KHuuK,759.5,10%,50
vanyatko,Pbn6LztcscMmi39eXiGTFO,494.0,6%,52
dev.temp.null.mail,S9E8PxoqnKT1rAa6C2DWD_,309.6,14%,49
ms,f65cLlLQjYPlNzvhAKjtTy,3.4,2%,50